"AUTHOR","titleyear","2CZY","A","CZY","HIBA","Mozhe","Nevzhe","NOQWORD","GENRE","PUBYEAR","BIRTHYEAR","Birthreg","macroreg","czyperc","ALLSUM"
"Іван Карпенко-Карий","Бондарівна-1884",1,5,3,4,1,1,18,"DRA",1884,"1845","UA-HRS-REG","southeast",0.09375,33
"Іван Карпенко-Карий","Бурлака-1883",0,10,22,14,2,0,53,"DRA",1883,"1845","UA-HRS-REG","southeast",0.217821782178218,101
"Іван Карпенко-Карий","Житейське море-1904",0,30,3,4,4,4,100,"DRA",1904,"1845","UA-HRS-REG","southeast",0.0206896551724138,145
"Іван Карпенко-Карий","З Івана-пан;а з пана-Іван-1884",0,3,2,6,2,0,39,"DRA",1884,"1845","UA-HRS-REG","southeast",0.0384615384615385,52
"Іван Карпенко-Карий","Лиха іскра поле спалить і сама щезне-1893",1,9,6,9,3,1,44,"DRA",1893,"1845","UA-HRS-REG","southeast",0.0833333333333333,73
"Іван Карпенко-Карий","Мартин Боруля-1886",0,13,13,12,4,0,68,"DRA",1886,"1845","UA-HRS-REG","southeast",0.118181818181818,110
"Іван Карпенко-Карий","Наймичка-1885",1,17,14,13,8,2,70,"DRA",1885,"1845","UA-HRS-REG","southeast",0.112903225806452,125
"Іван Карпенко-Карий","Новобранець-1883",1,3,5,4,1,0,2,"FIC",1883,"1845","UA-HRS-REG","southeast",0.333333333333333,16
"Іван Карпенко-Карий","Паливода XVIII століття-1893",1,7,6,8,1,8,66,"DRA",1893,"1845","UA-HRS-REG","southeast",0.0625,97
"Іван Карпенко-Карий","Понад Дніпром-1897",0,15,8,18,4,3,78,"DRA",1897,"1845","UA-HRS-REG","southeast",0.0634920634920635,126
"Іван Карпенко-Карий","Розумний і дурень-1885",0,8,15,16,1,2,46,"DRA",1885,"1845","UA-HRS-REG","southeast",0.170454545454545,88
"Іван Карпенко-Карий","Сава Чалий-1899",2,11,7,7,3,3,62,"DRA",1899,"1845","UA-HRS-REG","southeast",0.0752688172043011,95
"Іван Карпенко-Карий","Сто Тисяч-1889",2,18,20,10,5,4,72,"DRA",1889,"1845","UA-HRS-REG","southeast",0.155038759689922,131
"Іван Карпенко-Карий","Судженої конем не об’їдеш-1892",1,11,19,20,0,0,31,"DRA",1892,"1845","UA-HRS-REG","southeast",0.234567901234568,82
"Іван Карпенко-Карий","Суєта-1903",1,29,9,10,11,8,79,"DRA",1903,"1845","UA-HRS-REG","southeast",0.0616438356164384,147
"Іван Карпенко-Карий","Хазяїн-1900",2,20,8,13,5,6,119,"DRA",1900,"1845","UA-HRS-REG","southeast",0.0467836257309941,173
"Іван Карпенко-Карий","Чортова скала-1884",2,13,16,9,8,2,115,"DRA",1884,"1845","UA-HRS-REG","southeast",0.098159509202454,165
"Іван Карпенко-Карий","Чумаки-1897",3,9,18,11,4,2,55,"DRA",1897,"1845","UA-HRS-REG","southeast",0.181818181818182,102
"Іван Керницький","Батьки й сини-1934",0,2,0,0,1,0,12,NA,1934,"1913","UA-LVV-REG","west",0,15
"Іван Керницький","В Нью Йорку на концерті-1934",0,0,0,0,0,1,0,NA,1934,"1913","UA-LVV-REG","west",0,1
"Іван Керницький","За товаром-1937",0,1,1,0,3,0,10,NA,1937,"1913","UA-LVV-REG","west",0.0666666666666667,15
"Іван Керницький","Колядники-1934",0,0,0,0,1,0,4,NA,1934,"1913","UA-LVV-REG","west",0,5
"Іван Керницький","Крамар Сень Свистун-1934",0,2,6,0,4,0,33,NA,1934,"1913","UA-LVV-REG","west",0.133333333333333,45
"Іван Керницький","Мій Світ-1936",0,3,1,0,3,0,3,NA,1936,"1913","UA-LVV-REG","west",0.1,10
"Іван Керницький","Празник-1937",0,3,0,0,2,0,12,NA,1937,"1913","UA-LVV-REG","west",0,17
"Іван Котляревський","Наталка Полтавка-1819",0,2,16,3,5,0,31,"DRA",1819,"1769","UA-PLT","southeast",0.280701754385965,57
"Іван Кочерга","Майстри часу-1933",1,24,14,13,6,14,151,"DRA",1933,"1881","UA-CRG-REG","central",0.0630630630630631,223
"Іван Микитенко","Бастилія божої матері-1934",1,15,13,11,10,9,110,"DRA",1934,"1897","UA-RIV","west",0.0773809523809524,169
"Іван Микитенко","Брати-1932",0,4,9,9,3,2,47,"FIC",1932,"1897","UA-RIV","west",0.121621621621622,74
"Іван Микитенко","Будні-1930",0,4,3,2,4,1,49,"FIC",1930,"1897","UA-RIV","west",0.0476190476190476,63
"Іван Микитенко","Вуркагани-1927",0,20,8,13,7,5,100,"FIC",1927,"1897","UA-RIV","west",0.0522875816993464,153
"Іван Микитенко","Голуби мира: подорож за кордон-1930",2,15,19,13,14,2,114,"FIC",1930,"1897","UA-RIV","west",0.107344632768362,179
"Іван Микитенко","Дні юності-1936",0,34,10,19,10,3,147,"DRA",1936,"1897","UA-RIV","west",0.0448430493273543,223
"Іван Микитенко","Кадильниця-1930",1,13,3,13,2,0,58,"FIC",1930,"1897","UA-RIV","west",0.0337078651685393,90
"Іван Нечуй-Левицький","Афонський пройдисвіт-1890",2,4,14,0,0,0,20,"FIC",1890,"1838","UA-CRK","central",0.368421052631579,40
"Іван Нечуй-Левицький","Без пуття-1900",2,2,13,0,0,1,24,"FIC",1900,"1838","UA-CRK","central",0.325,42
"Іван Нечуй-Левицький","Біда бабі Палажці Соловїсі-1908",2,1,7,4,2,0,3,"FIC",1908,"1838","UA-CRK","central",0.411764705882353,19
"Іван Нечуй-Левицький","Біда бабі Парасці Гришисі-1908",5,0,3,3,2,0,2,"FIC",1908,"1838","UA-CRK","central",0.3,15
"Іван Нечуй-Левицький","Вітрогон-1891",0,0,0,0,0,0,1,"FIC",1891,"1838","UA-CRK","central",0,1
"Іван Нечуй-Левицький","Гастролі-1903",2,0,5,6,3,1,14,"FIC",1903,"1838","UA-CRK","central",0.172413793103448,31
"Іван Нечуй-Левицький","Гетьман Іван Виговський-1895",8,10,57,6,15,6,50,"FIC",1895,"1838","UA-CRK","central",0.395833333333333,152
"Іван Нечуй-Левицький","Два брати-1885",2,0,4,0,1,0,2,"FIC",1885,"1838","UA-CRK","central",0.571428571428571,9
"Іван Нечуй-Левицький","Дві милі-1910",0,1,3,1,0,0,2,"FIC",1910,"1838","UA-CRK","central",0.428571428571429,7
"Іван Нечуй-Левицький","Дві московки-1868",3,1,22,2,1,0,7,"FIC",1868,"1838","UA-CRK","central",0.666666666666667,36
"Іван Нечуй-Левицький","Живцем Поховані-1898",2,1,4,0,1,1,5,"FIC",1898,"1838","UA-CRK","central",0.333333333333333,14
"Іван Нечуй-Левицький","Запорожці (фрагмент)-1873",1,0,9,1,0,0,2,"FIC",1873,"1838","UA-CRK","central",0.75,13
"Іван Нечуй-Левицький","Кайдашева сім'я-1878",17,8,74,27,4,2,29,"FIC",1878,"1838","UA-CRK","central",0.513888888888889,161
"Іван Нечуй-Левицький","Київські прохачі-1901",3,2,25,5,5,13,34,"FIC",1901,"1838","UA-CRK","central",0.297619047619048,87
"Іван Нечуй-Левицький","Князь Єремія Вишневецький-1897",13,5,35,6,16,17,40,"FIC",1897,"1838","UA-CRK","central",0.294117647058824,132
"Іван Нечуй-Левицький","Микола Джеря-1876",8,1,44,10,6,4,19,"FIC",1876,"1838","UA-CRK","central",0.523809523809524,92
"Іван Нечуй-Левицький","На Кожум'яках-1875",9,9,46,13,6,1,46,"DRA",1875,"1838","UA-CRK","central",0.380165289256198,130
"Іван Нечуй-Левицький","На гастролях в Микитянах-1903",6,4,27,6,4,5,18,"FIC",1903,"1838","UA-CRK","central",0.421875,70
"Іван Нечуй-Левицький","Навіжена-1891",8,12,30,4,12,4,46,"FIC",1891,"1838","UA-CRK","central",0.277777777777778,116
"Іван Нечуй-Левицький","Над Чорним морем-1888",6,22,66,28,20,21,78,"FIC",1888,"1838","UA-CRK","central",0.280851063829787,241
"Іван Нечуй-Левицький","Не той став-1896",4,4,45,29,22,5,26,"FIC",1896,"1838","UA-CRK","central",0.343511450381679,135
"Іван Нечуй-Левицький","Невинна-1885",0,0,0,1,0,0,0,"FIC",1885,"1838","UA-CRK","central",0,1
"Іван Нечуй-Левицький","Неоднаковими стежками-1902",7,12,40,11,7,9,72,"FIC",1902,"1838","UA-CRK","central",0.264900662251656,158
"Іван Нечуй-Левицький","Ніч на Дніпрі-1906",1,0,2,0,0,0,1,"FIC",1906,"1838","UA-CRK","central",0.666666666666667,4
"Іван Нечуй-Левицький","Поміж ворогами-1893",6,5,62,19,10,13,53,"FIC",1893,"1838","UA-CRK","central",0.382716049382716,168
"Іван Нечуй-Левицький","Причепа-1869",6,19,94,31,13,1,48,"FIC",1869,"1838","UA-CRK","central",0.456310679611651,212
"Іван Нечуй-Левицький","Пропащі-1888",5,6,19,8,8,2,10,"FIC",1888,"1838","UA-CRK","central",0.358490566037736,58
"Іван Нечуй-Левицький","Рибалка Панас Круть-1866",0,1,11,0,0,0,4,"FIC",1866,"1838","UA-CRK","central",0.6875,16
"Іван Нечуй-Левицький","Світогляд українського народу. Ескіз української міфології [редакція 1992 р.]-1876",0,0,1,0,0,0,4,"FIC",1876,"1838","UA-CRK","central",0.2,5
"Іван Нечуй-Левицький","Скривджені й нескривджені-1886",3,1,10,0,1,1,24,"FIC",1886,"1838","UA-CRK","central",0.27027027027027,40
"Іван Нечуй-Левицький","Старосвітські батюшки та матушки-1881",28,25,124,24,19,7,64,"FIC",1881,"1838","UA-CRK","central",0.47148288973384,291
"Іван Нечуй-Левицький","Старі гультяї-1897",3,3,11,1,1,0,6,"FIC",1897,"1838","UA-CRK","central",0.5,25
"Іван Нечуй-Левицький","Хмари-1871",20,29,182,31,18,4,81,"FIC",1871,"1838","UA-CRK","central",0.527536231884058,365
"Іван Нечуй-Левицький","Хрестини-1907",0,0,0,1,0,1,1,"FIC",1907,"1838","UA-CRK","central",0,3
"Іван Огієнко","Українська церква. Том I-1942",0,2,8,1,2,0,29,NA,1942,NA,NA,"NA",0.19047619047619,42
"Іван Огієнко","Українська церква. Том II-1942",0,2,5,0,3,0,21,NA,1942,NA,NA,"NA",0.161290322580645,31
"Іван Франко","Борислав сміється-1881",0,0,0,0,0,0,1,"FIC",1881,"1856","UA-LVV-REG","west",0,1
"Іван Франко","Коли ще звірі говорили (збірка)-1899",0,9,3,9,2,2,35,"CHI",1899,"1856","UA-LVV-REG","west",0.05,60
"Іван Франко","На дні-1880",0,0,0,0,0,0,1,"FIC",1880,"1856","UA-LVV-REG","west",0,1
"Іван Франко","Перехресні стежки-1900",0,0,0,0,1,0,0,"FIC",1900,"1856","UA-LVV-REG","west",0,1
"Іван Франко","Як звірі правувалися з людьми-1903",1,1,4,4,1,0,1,"CHI",1903,"1856","UA-LVV-REG","west",0.363636363636364,12
"Ігор Губаржевський","Активні дієприкметники на -чий в українській літературній мові-1936",0,2,0,0,0,0,118,NA,1936,"1905","UA-VNC-REG","central",0,120
"Ірина Вільде","Наші батьки розійшлись-1937",4,6,20,1,3,0,56,NA,1937,"1907","UA-CRV","west",0.232558139534884,90
"Агата Крісті","Актриса-1923",0,0,5,0,0,0,9,"FIC",1923,NA,NA,"NA",0.357142857142857,14
"Агата Крісті","Любов незнайомця-1989",0,2,10,1,2,0,13,NA,1989,NA,NA,"NA",0.357142857142857,28
"Агата Турчинська","Руна-1972",3,15,28,8,8,2,61,NA,1972,"1903","UA-LVV-REG","west",0.229508196721311,125
"Агатангел Кримський","[Промова на могилі Ів. Франка]-1940",0,0,1,0,0,0,1,"PRE",1940,"1871","UA-ZHT","central",0.5,2
"Агатангел Кримський","«Волосова борода»-1927",0,0,2,1,0,0,2,"ETH",1927,"1871","UA-ZHT","central",0.4,5
"Агатангел Кримський","Із спогадів щирого друга-1941",0,0,0,0,0,1,0,"MEM",1941,"1871","UA-ZHT","central",0,1
"Агатангел Кримський","Історія Персії та її письменства-1923",1,0,0,1,0,0,1,"ACA",1923,"1871","UA-ZHT","central",0,3
"Агатангел Кримський","Історія Туреччини-1924",0,0,0,1,0,0,1,"ACA",1924,"1871","UA-ZHT","central",0,2
"Агатангел Кримський","Андрій Лаговський-1919",4,25,69,20,24,17,162,"FIC",1919,"1871","UA-ZHT","central",0.217665615141956,321
"Агатангел Кримський","До етнографії Полісся-1928",0,0,6,1,1,0,6,"ETH",1928,"1871","UA-ZHT","central",0.428571428571429,14
"Агатангел Кримський","До етнографії Чернігівщини-1927",0,0,0,0,0,0,1,"ETH",1927,"1871","UA-ZHT","central",0,1
"Агатангел Кримський","До життєпису Степана Руданського-1925",1,1,3,0,1,0,6,"JOU",1925,"1871","UA-ZHT","central",0.272727272727273,12
"Агатангел Кримський","Епігони давньої галицької науки-1927",0,0,2,0,0,0,1,"JOU",1927,"1871","UA-ZHT","central",0.666666666666667,3
"Агатангел Кримський","Етнографічні й інші українські видання московських лубочників рр. 1888 – 1893-1928",0,0,1,0,0,0,1,"ETH",1928,"1871","UA-ZHT","central",0.5,2
"Агатангел Кримський","Народні легенди про Шевченка – і пісня про «Шевченка»-1927",0,0,3,0,0,0,1,"ETH",1927,"1871","UA-ZHT","central",0.75,4
"Агатангел Кримський","Пальмове гілля. Напутнє слово до 3-го видання-1919",0,0,1,0,0,0,0,"JOU",1919,"1871","UA-ZHT","central",1,1
"Агатангел Кримський","Перський театр;звідки він узявсь і як розвивавсь-1925",0,0,1,0,1,0,0,"ACA",1925,"1871","UA-ZHT","central",0.5,2
"Агатангел Кримський","Тюрки;їх мови та літератури-1930",1,0,2,0,0,0,1,"ACA",1930,"1871","UA-ZHT","central",0.666666666666667,4
"Агатангел Кримський","Українська мова;звідкіля вона взялася і як розвивалася-1922",0,0,1,0,0,0,0,"ACA",1922,"1871","UA-ZHT","central",1,1
"Агатангел Кримський","Хафіз та його пісні-1924",0,0,1,0,0,0,1,"ACA",1924,"1871","UA-ZHT","central",0.5,2
"Адріан Кащенко","Великий луг-1917",0,3,1,0,0,0,0,"HIS",1917,"1858","UA-DNK","NA",0.25,4
"Адріан Кащенко","Оповідання про славне військо запорозьке низове-1917",6,8,27,3,3,0,11,"HIS",1917,"1858","UA-DNK","NA",0.519230769230769,58
"Адріан Кащенко","Про гетьмана Сагайдачного-1917",0,0,0,0,0,2,0,"HIS",1917,"1858","UA-DNK","NA",0,2
"Адріан Кащенко","У запалі боротьби-1917",1,4,21,9,5,5,64,"FIC",1917,"1858","UA-DNK","NA",0.194444444444444,109
"Андрій Головко","Бур'ян-1927",3,18,45,43,21,6,78,"FIC",1927,"1897","UA-PLT-REG","southeast",0.213270142180095,214
"Андрій Головко","Зелені серцем-1924",0,4,3,5,2,2,23,"FIC",1924,"1897","UA-PLT-REG","southeast",0.0769230769230769,39
"Андрій Головко","Можу-1922",0,10,10,6,6,4,49,"FIC",1922,"1897","UA-PLT-REG","southeast",0.117647058823529,85
"Андрій Головко","Пилипко-1928",0,0,1,0,0,0,9,"FIC",1928,"1897","UA-PLT-REG","southeast",0.1,10
"Андрій Головко","Червона хустина-1923",0,3,2,8,2,1,11,"FIC",1923,"1897","UA-PLT-REG","southeast",0.0740740740740741,27
"Андрій Чайковський","За сестрою-1907",4,17,18,25,4,2,39,"FIC",1907,"1857","UA-LVV-REG","west",0.171428571428571,109
"Андрій Чайковський","Козацька помста-1920",0,17,18,17,4,4,43,"FIC",1920,"1857","UA-LVV-REG","west",0.174757281553398,103
"Андрій Чайковський","Олюнька-1920",1,24,29,9,15,0,65,"FIC",1920,"1857","UA-LVV-REG","west",0.204225352112676,143
"Андрій Чайковський","Перед зривом-1937",2,4,20,3,3,1,21,NA,1937,"1857","UA-LVV-REG","west",0.384615384615385,54
"Андрій Чайковський","Полковник Михайло Кричевський-1937",0,14,19,8,10,5,45,NA,1937,"1857","UA-LVV-REG","west",0.188118811881188,101
"Андрій Чайковський","Чорні рядки-1918",1,3,10,5,0,0,3,"MEM",1918,"1857","UA-LVV-REG","west",0.476190476190476,22
"Антін Крушельницький","Дужим помахом крил. Том І-1924",5,28,91,31,42,4,341,"FIC",1924,"1878","PL","NA",0.169459962756052,542
"Антін Крушельницький","Дужим помахом крил. Том ІІ-1924",11,50,130,40,41,1,404,"FIC",1924,"1878","PL","NA",0.195195195195195,677
"Антін Лотоцький","Історія України для дітей-1938",0,0,0,0,1,0,2,"CHI",1938,NA,NA,"NA",0,3
"Антін Лотоцький","Котигорошок-1938",2,2,7,2,4,0,30,"CHI",1938,NA,NA,"NA",0.155555555555556,47
"Антін Лотоцький","Михайло-семиліток-1938",0,0,1,0,0,0,5,"CHI",1938,NA,NA,"NA",0.166666666666667,6
"Антін Чекмановський (Антон Нивинський)","Віки пливуть над Києвом-1938",0,17,27,5,15,2,133,NA,1938,"1890","UA-RIV-REG","west",0.135678391959799,199
"Аркадій Любченко","Його таємниця-1943",1,0,5,1,1,2,9,"MEM",1943,"1899","UA-KYV-REG","central",0.277777777777778,19
"Аркадій Любченко","Щоденник-1941",2,0,5,1,2,0,6,"DIA",1941,"1899","UA-KYV-REG","central",0.357142857142857,16
"Аркадій Любченко","Щоденник-1942",0,9,19,2,0,2,27,"DIA",1942,"1899","UA-KYV-REG","central",0.322033898305085,118
"Арсен Паламар","Деградація-2004",12,14,120,13,23,9,123,NA,2004,"1936","UA-TRN-REG","west",0.397350993377483,314
"Арсен Паламар","Третя руїна-1997",6,5,82,6,20,8,65,NA,1997,"1936","UA-TRN-REG","west",0.440860215053763,192
"Архип Тесленко","В тюрмі-1910",0,2,0,1,0,0,2,"FIC",1910,"1882","UA-PLT-REG","southeast",0,5
"Архип Тесленко","Да здраствуєт небитіє-1910",0,2,0,0,0,0,10,"FIC",1910,"1882","UA-PLT-REG","southeast",0,12
"Архип Тесленко","За пашпортом-1906",0,0,0,0,0,0,1,"FIC",1906,"1882","UA-PLT-REG","southeast",0,1
"Архип Тесленко","Истинно русский человек-1906",0,1,0,0,0,0,0,"FIC",1906,"1882","UA-PLT-REG","southeast",0,1
"Архип Тесленко","На чужині-1910",0,1,0,0,0,0,8,"FIC",1910,"1882","UA-PLT-REG","southeast",0,9
"Архип Тесленко","Поганяй до ями!-1910",0,0,0,0,0,0,4,"FIC",1910,"1882","UA-PLT-REG","southeast",0,4
"Архип Тесленко","Свій брат-1910",0,0,0,0,0,0,1,"FIC",1910,"1882","UA-PLT-REG","southeast",0,1
"Архип Тесленко","Страчене життя-1910",0,0,0,0,0,0,1,"FIC",1910,"1882","UA-PLT-REG","southeast",0,1
"Архип Тесленко","Тяжко-1910",0,1,0,0,0,0,1,"FIC",1910,"1882","UA-PLT-REG","southeast",0,2
"Архип Тесленко","У схимника-1906",0,0,0,0,0,0,1,"FIC",1906,"1882","UA-PLT-REG","southeast",0,1
"Архип Тесленко","Хуторяночка-1906",0,0,0,0,0,0,2,"FIC",1906,"1882","UA-PLT-REG","southeast",0,2
"Архип Тесленко","Що б з мене було??-1911",0,0,0,0,0,0,18,"FIC",1911,"1882","UA-PLT-REG","southeast",0,18
"Архип Тесленко","Що робить-1910",0,0,0,0,0,0,2,"FIC",1910,"1882","UA-PLT-REG","southeast",0,2
"Архип Тесленко","Як же так??-1910",0,1,0,0,0,0,0,"FIC",1910,"1882","UA-PLT-REG","southeast",0,1
"Богдан Бойчук","Аліпій II і його наречена-2002",0,4,19,2,1,7,26,NA,2002,"1927","UA-TRN-REG","west",0.322033898305085,59
"Богдан Бойчук","Життя з Алісою поза дзеркалом-2003",0,3,10,8,5,5,34,NA,2003,"1927","UA-TRN-REG","west",0.153846153846154,65
"Богдан Бойчук","Краєвиди підглядника-1998",0,5,44,22,9,10,74,NA,1998,"1927","UA-TRN-REG","west",0.268292682926829,164
"Богдан Лепкий","Батурин-1927",4,39,33,4,21,18,195,"FIC",1927,"1872","UA-TRN","west",0.106451612903226,314
"Богдан Лепкий","Казка мого життя. Бережани-1941",3,24,9,0,6,8,46,"MEM",1941,"1872","UA-TRN","west",0.0967741935483871,96
"Богдан Лепкий","Каяла-1935",0,11,9,3,0,3,31,NA,1935,"1872","UA-TRN","west",0.157894736842105,57
"Богдан Лепкий","Крутіж-1941",1,61,44,2,11,17,155,NA,1941,"1872","UA-TRN","west",0.151724137931034,291
"Богдан Лепкий","Мазепа-1929",7,90,106,8,33,44,406,"FIC",1929,"1872","UA-TRN","west",0.15429403202329,694
"Богдан Лепкий","Мишка-1941",0,1,0,0,0,0,0,"CHI",1941,"1872","UA-TRN","west",0,1
"Богдан Лепкий","Мотря-1926",7,62,83,7,54,61,308,"FIC",1926,"1872","UA-TRN","west",0.144347826086957,582
"Богдан Лепкий","Не вбивай-1926",4,52,74,4,14,32,236,"FIC",1926,"1872","UA-TRN","west",0.179611650485437,416
"Богдан Лепкий","Полтава-1929",4,128,68,10,43,67,375,"FIC",1929,"1872","UA-TRN","west",0.0984081041968162,695
"Богдан Пастушок","Із щоденникових записів-1964",0,0,0,0,1,0,0,NA,1964,NA,NA,"NA",0,1
"Богдан Пастушок","Із щоденникових записів-1968",0,0,0,0,0,1,0,NA,1968,NA,NA,"NA",0,1
"Богдан Пастушок","Із щоденникових записів-1991",0,0,1,0,0,0,0,NA,1991,NA,NA,"NA",1,1
"Богдан Пастушок","Із щоденникових записів-1992",0,2,2,0,0,0,4,NA,1992,NA,NA,"NA",0.25,8
"Богдан Пастушок","Із щоденникових записів-1993",0,0,1,0,1,0,7,NA,1993,NA,NA,"NA",0.111111111111111,9
"Богдан Пастушок","Із щоденникових записів-1994",0,0,0,0,0,0,2,NA,1994,NA,NA,"NA",0,2
"Богдан Пастушок","Із щоденникових записів-1995",0,0,2,1,0,0,3,NA,1995,NA,NA,"NA",0.333333333333333,6
"Богдан Пастушок","Із щоденникових записів-1996",0,1,0,0,0,0,9,NA,1996,NA,NA,"NA",0,10
"Богдан Пастушок","Із щоденникових записів-1997",1,0,0,0,0,0,5,NA,1997,NA,NA,"NA",0,6
"Богдан Пастушок","Із щоденникових записів-1998",0,0,0,0,0,0,2,NA,1998,NA,NA,"NA",0,2
"Богдан Пастушок","Із щоденникових записів-1999",0,0,0,0,0,1,3,NA,1999,NA,NA,"NA",0,4
"Богдан Пастушок","Із щоденникових записів-2000",0,1,0,0,0,0,1,NA,2000,NA,NA,"NA",0,2
"Богдан Пастушок","Із щоденникових записів-2001",0,1,0,0,0,0,6,NA,2001,NA,NA,"NA",0,7
"Богдан Пастушок","Із щоденникових записів-2002",0,0,0,0,0,0,8,NA,2002,NA,NA,"NA",0,8
"Богдан Сушинський","Ріка далеких мандрів (скорочений варіант)-1991",0,17,15,22,20,17,89,NA,1991,"1946","UA-LVV-REG","west",0.0833333333333333,180
"Борис Антоненко-Давидович","Два-1922",0,1,0,1,0,0,4,"FIC",1922,"1899","UA-SUM-REG","southeast",0,6
"Борис Антоненко-Давидович","Паровоз № 273-1933",0,0,2,0,0,2,0,NA,1933,"1899","UA-SUM-REG","southeast",0.5,4
"Борис Антоненко-Давидович","Пегас-1924",0,0,0,1,0,0,1,"FIC",1924,"1899","UA-SUM-REG","southeast",0,2
"Борис Антоненко-Давидович","Печатка-1930",0,3,1,1,6,1,25,"FIC",1930,"1899","UA-SUM-REG","southeast",0.027027027027027,37
"Борис Антоненко-Давидович","Просвітяни-1922",0,1,3,0,0,0,7,"FIC",1922,"1899","UA-SUM-REG","southeast",0.272727272727273,11
"Борис Антоненко-Давидович","Рейки на драговині-1933",0,0,0,0,0,0,5,NA,1933,"1899","UA-SUM-REG","southeast",0,5
"Борис Антоненко-Давидович","Світло в імлі-1933",0,0,0,0,0,0,1,NA,1933,"1899","UA-SUM-REG","southeast",0,1
"Борис Антоненко-Давидович","Синя волошка-1924",0,1,0,5,0,1,5,"FIC",1924,"1899","UA-SUM-REG","southeast",0,12
"Борис Антоненко-Давидович","Смерть-1927",2,3,6,15,13,3,74,"FIC",1927,"1899","UA-SUM-REG","southeast",0.0526315789473684,116
"Борис Антоненко-Давидович","Тук-тук...-1925",0,1,1,1,0,0,17,"FIC",1925,"1899","UA-SUM-REG","southeast",0.05,20
"Борис Антоненко-Давидович","Шкапа-1924",0,0,0,0,1,0,4,"FIC",1924,"1899","UA-SUM-REG","southeast",0,5
"Борис Грінченко","Байда-1890",0,0,0,0,0,0,1,"FIC",1890,"1863","UA-HRK-REG","southeast",0,1
"Борис Грінченко","Без хліба-1884",0,0,0,0,0,0,1,"FIC",1884,"1863","UA-HRK-REG","southeast",0,1
"Борис Грінченко","Брат на брата-1907",0,0,0,0,0,0,1,"FIC",1907,"1863","UA-HRK-REG","southeast",0,1
"Борис Грінченко","Під тихими вербами-1901",0,0,0,0,0,0,2,"FIC",1901,"1863","UA-HRK-REG","southeast",0,2
"Борис Левандовський","Донор для небіжчика-2004",0,21,34,14,30,10,193,NA,2004,NA,NA,"NA",0.112582781456954,302
"Борис Тенета","Гармонія і свинушник-1928",0,22,6,5,5,2,86,"FIC",1928,"1903","UA-DNP-REG","southeast",0.0476190476190476,126
"Борис Тенета","Десята секунда-1928",0,7,0,1,2,3,15,"FIC",1928,"1903","UA-DNP-REG","southeast",0,28
"Борис Тенета","Ковалі-1929",0,4,0,3,6,0,14,"FIC",1929,"1903","UA-DNP-REG","southeast",0,27
"Борис Тенета","Люди-1928",0,4,1,0,3,1,23,"FIC",1928,"1903","UA-DNP-REG","southeast",0.03125,32
"Борис Тенета","Маріяка-1924",0,4,7,8,1,0,43,"FIC",1924,"1903","UA-DNP-REG","southeast",0.111111111111111,63
"Борис Тенета","Мусема-1925",0,4,7,8,1,0,43,"FIC",1925,"1903","UA-DNP-REG","southeast",0.111111111111111,63
"Борис Тенета","Місто-1926",0,0,0,0,3,0,3,"FIC",1926,"1903","UA-DNP-REG","southeast",0,6
"В. Таль","Незвичайні пригоди бурсаків. Повість з часів XVIII віку-1929",4,27,50,11,16,2,164,"FIC",1929,NA,NA,"NA",0.185185185185185,274
